customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,nps,sentiment_score,tenure_bucket,monthly_to_total_ratio,has_dependents,contract_payment,avg_monthly_charges,num_services,segment
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0,9,0.8279240086518086,0-6,0.9999999664991636,0,Month-to-month_Electronic check,29.849970150029854,3,3
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,0,10,0.9738050085828036,24-48,0.030140248727102276,0,One year_Mailed check,55.57352777724919,4,2
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,1,6,0.6723505333387403,0-6,0.49791955156801154,0,Month-to-month_Mailed check,54.07497296251352,4,2
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,0,8,0.8664195272705907,24-48,0.022979763670797355,0,One year_Bank transfer (automatic),40.90555464654323,5,0
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1,4,0.4227843514457345,0-6,0.46620507440682446,0,Month-to-month_Electronic check,75.82496208751895,2,2
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,1,4,0.4331549623370087,6-12,0.121450335013467,0,Month-to-month_Electronic check,102.56248717968911,6,2
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,0,7,0.8030411400567673,12-24,0.045706371167689344,1,Month-to-month_Credit card (automatic),88.60908688140515,5,2
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,0,8,0.8285623829794249,6-12,0.09854256343642742,0,Month-to-month_Mailed check,30.189996981000302,3,3
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,1,6,0.6322094930268776,24-48,0.03440521329774455,0,Month-to-month_Electronic check,108.78749611473228,7,1
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,0,8,0.721770848694323,48-72,0.016098281220746205,1,One year_Bank transfer (automatic),56.25725715714101,4,0
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,0,8,0.7443684719380931,12-24,0.0850285129202,1,Month-to-month_Mailed check,45.18845806242631,3,3
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0,10,0.9983654841499399,12-24,0.05798653593027375,0,Two year_Credit card (automatic),20.42499872343758,1,3
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,0,9,0.8596278887462877,48-72,0.017663832705345116,0,One year_Credit card (automatic),97.94999831120694,6,1
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,1,2,0.15010223564884143,48-72,0.02059051287242807,0,Month-to-month_Bank transfer (automatic),102.78163055547694,7,1
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0,10,0.9558770475883875,24-48,0.03927700525333594,0,Month-to-month_Electronic check,107.44199570232017,7,2
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,7,0.6288214678909436,48-72,0.014344249315802202,1,Two year_Credit card (automatic),114.42246210981939,9,1
